Postcode;Borough;Neighbourhood
8637;D「ebendorf;Laupen
8639;D「ebendorf;Faltigberg
8700;D「ebendorf;K「esnacht
8702;D「ebendorf;Zollikon
8703;D「ebendorf;Erlenbach
8704;D「ebendorf;Herrliberg
8706;D「ebendorf;Meilen
8706;D「ebendorf;Feldmeilen
8706;D「ebendorf;Obermeilen
8707;D「ebendorf;Uetikon am See
8708;D「ebendorf;Maennedorf
8712;D「ebendorf;Staefa
8713;D「ebendorf;Uerikon
8714;D「ebendorf;Feldbach
8800;D「ebendorf;Thalwil
8802;D「ebendorf;Kilchberg
8803;D「ebendorf;R「eschlikon
8804;D「ebendorf;Au
8805;D「ebendorf;Richterswil
8810;D「ebendorf;Horgen
8815;D「ebendorf;Horgenberg
8816;D「ebendorf;Hirzel
8820;D「ebendorf;Waedenswil
8824;D「ebendorf;Schoenenberg
8824;D「ebendorf;Tanne bei Waedenswil
8825;D「ebendorf;H「etten
8833;D「ebendorf;Samstagern
8902;D「ebendorf;Urdorf
8903;D「ebendorf;Birmensdorf
8904;D「ebendorf;Aesch bei Birmensdorf
8906;D「ebendorf;Bonstetten
8907;D「ebendorf;Wettswil
8908;D「ebendorf;Hedingen
8909;D「ebendorf;Zwillikon
8910;D「ebendorf;Affoltern am Albis
8911;D「ebendorf;Rifferswil
8912;D「ebendorf;Obfelden
8913;D「ebendorf;Ottenbach
8914;D「ebendorf;Aeugst am Albis
8914;D「ebendorf;Aeugstertal
8915;D「ebendorf;Hausen am Albis
8925;D「ebendorf;Ebertswil
8926;D「ebendorf;Kappel am Albis
8926;D「ebendorf;Hauptikon
8926;D「ebendorf;Uerzlikon
8932;D「ebendorf;Mettmenstetten
8933;D「ebendorf;Maschwanden
8934;D「ebendorf;Knonau
8942;D「ebendorf;Oberrieden
8951;D「ebendorf;Fahrweid
8952;D「ebendorf;Schlieren
8953;D「ebendorf;Dietikon
8954;D「ebendorf;Geroldswil
8955;D「ebendorf;Oetwil an der Limmat
8000;Zurich City;Zurich-Area
8001;Zurich City;Altstadt Zurich
8001;Zurich City;Hochschulen
8001;Zurich City;Hottingen
8001;Zurich City;Lindenhof
8001;Zurich City;Rathaus
8002;Zurich City;Zurich-Area
8003;Zurich City;Alt-Wiedikon
8003;Zurich City;Sihlfeld
8004;Zurich City;Hard
8004;Zurich City;Langstrasse
8004;Zurich City;Werd
8005;Zurich City;Escher-Wyss
8005;Zurich City;Gewerbeschule
8006;Zurich City;Zurich-Area
8008;Zurich City;M「ehlebach
8008;Zurich City;Seefeld
8008;Zurich City;Weinegg
8015;Zurich City;Zurich-Area
8016;Zurich City;Zurich-Area
8021;Zurich City;Zurich-Area
8022;Zurich City;Zurich-Area
8023;Zurich City;Zurich-Area
8024;Zurich City;Zurich-Area
8025;Zurich City;Zurich-Area
8026;Zurich City;Zurich-Area
8027;Zurich City;Zurich-Area
8030;Zurich City;Zurich-Area
8031;Zurich City;Zurich-Area
8032;Zurich City;Zurich-Area
8033;Zurich City;Zurich-Area
8034;Zurich City;Zurich-Area
8036;Zurich City;Zurich-Area
8037;Zurich City;Zurich-Area
8038;Zurich City;Wollishofen
8039;Zurich City;Zurich-Area
8040;Zurich City;Zurich-Area
8041;Zurich City;Leimbach
8042;Zurich City;Zurich-Area
8044;Zurich City;Fluntern
8044;Zurich City;Oberstrass
8045;Zurich City;Alt-Wiedikon
8045;Zurich City;Friesenberg
8046;Zurich City;Affoltern
8047;Zurich City;Zurich-Area
8048;Zurich City;Altstetten
8049;Zurich City;Zurich-Area
8050;Zurich City;Zurich-Area
8051;Zurich City;Hirzenbach
8051;Zurich City;Schwamendingen
8052;Zurich City;Seebach
8053;Zurich City;Witikon
8055;Zurich City;Albisrieden
8055;Zurich City;Alt-Wiedikon
8055;Zurich City;Friesenberg
8057;Zurich City;Oerlikon
8057;Zurich City;Unterstrass
8059;Zurich City;Zurich-Area
8061;Zurich City;Zurich-Area
8063;Zurich City;Zurich-Area
8064;Zurich City;Altstetten
8066;Zurich City;Zurich-Area
8068;Zurich City;Zurich-Area
8070;Zurich City;Zurich-Area
8071;Zurich City;Zurich-Area
8074;Zurich City;Zurich-Area
8075;Zurich City;Zurich-Area
8080;Zurich City;Zurich-Area
8081;Zurich City;Zurich-Area
8085;Zurich City;Zurich-Area
8086;Zurich City;Zurich-Area
8087;Zurich City;Zurich-Area
8088;Zurich City;Zurich-Area
8090;Zurich City;Zurich-Area
8091;Zurich City;Zurich-Area
8092;Zurich City;Zurich-Area
8093;Zurich City;Zurich-Area
8096;Zurich City;Zurich-Area
8098;Zurich City;Zurich-Area
8099;Zurich City;Zurich-Area
